m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
76087.5,18914.2,0.928913,0.351208,172925.6552363846,15.4562,0.782314,1.04416,0.732005,4.58314e-06,6.181572949371964e-11,10508.237335252645,638.5579499065789,1612.3628850318285,0.4034329908349835,1148.870584190642,540.5788976312655,5.524249589864451,8210.949952363277,1148.870584190642,540.5788976312655,144.5256822823932,True,1.0,137.47963742652396,133.16357877493118
124293.0,24568.8,-0.730511,0.454173,172913.1933019614,15.4552,2.05134,2.52147,1.48644,2.82734e-06,3.813327440317474e-11,10508.118607003344,638.5895405101941,5690.758247173612,2.2770049259070726,1736.572987962139,292.7561118220528,1.3158220979117108,4113.276457394296,1736.572987962139,292.7561118220528,93.7298268793857,True,1.0,89.54249207134295,87.21506593371612
128190.0,115061.0,0.11167,0.364008,211830.6462258885,18.5572,1.01739,0.368778,1.13552,7.42795e-06,1.0644109379650396e-10,10831.33813766227,553.8286737192578,7422.594367365116,4.131468333644785,1446.4854680604806,174.2961039020175,1.7636211790468763,4940.771622159971,1446.4854680604806,174.2961039020175,252.60412223844472,True,1.0,243.847427340793,235.30110875030124
71186.6,14176.4,-0.508089,-0.724719,145927.95298475347,13.2777,2.25511,1.68951,1.87604,1.74374e-05,2.22494015949958e-10,10220.690516312396,715.8499279514485,7050.962711028843,3.6232999659348217,1525.093061078787,222.0054924098005,3.078211445747063,6579.257789844278,1525.093061078787,222.0054924098005,66.28458857230171,True,1.0,66.1219803932884,62.52941284497524
70413.2,7780.94,-0.0409458,-0.788738,198093.23247884872,17.4667,0.538573,1.83475,2.29616,4.1061e-06,5.7712028675706285e-11,10727.050987932264,580.8861890826332,7031.602472260116,3.598884896934909,1528.9798768132753,200.1141798338776,0.8641998195605622,3044.205670099541,1528.9798768132753,200.1141798338776,48.36130539039756,True,0.98,44.04920117929842,42.02570772600994
65358.2,51256.4,0.460441,0.442219,145684.06113224485,13.2579,2.32997,1.14741,1.21921,1.74374e-05,2.2236724177262824e-10,10217.778293594767,716.6397781997888,5028.688051541215,1.817793081005684,1784.6193484558214,363.9449176447503,1.5882015863106271,4639.291438891312,1784.6193484558214,363.9449176447503,200.0240964525112,True,1.0,197.0618623405445,187.76900826740945
201363.0,153156.0,0.9036,0.450073,172946.84066075366,15.4579,0.587283,1.44179,0.872798,6.86504e-06,9.259672537024104e-11,10508.439148418303,638.5042531804364,2225.952612153035,0.5853680633087661,1404.0604557917272,503.2529388835359,3.849355370801857,7223.355213187985,1404.0604557917272,503.2529388835359,418.7389768923093,True,1.0,405.9022083728688,391.8035112381213
274402.0,83525.4,0.633716,-0.643035,156039.48137423827,14.0966,1.29656,1.01442,1.91811,6.86504e-06,8.958388675032378e-11,10336.067814888003,684.6619646071304,6488.7640372167725,2.9844263766660712,1628.5315400090665,254.84571305083688,8.540070718678235,9283.602167982124,1628.5315400090665,254.84571305083688,287.8401195858511,True,1.0,275.79666227442834,285.5042898969165
221004.0,22201.4,-0.293955,0.821664,113980.02518215652,10.6617,2.40797,1.99525,0.435532,1.46653e-06,1.7112003006098676e-11,9773.877323388231,838.1177121164351,6430.573204558408,2.925762935135441,1638.0442001548984,286.69097269751006,0.4729981895907825,1854.9509208584743,1638.0442001548984,286.69097269751006,117.49384606068335,True,1.0,95.86031488219923,93.21908127229386
379857.0,18581.5,0.277818,-0.709947,198012.77902799868,17.4603,2.81173,1.16564,2.17924,1.51038e-06,2.122615269268121e-11,10726.41176080555,581.0529493456526,6434.346738458867,2.929529045987852,1637.4345758741686,232.50245304806373,4.826438451937016,7850.971443152187,1637.4345758741686,232.50245304806373,51.21589328489656,True,1.0,39.2224503438711,36.68543796765176
10796.1,10164.5,-0.760624,0.304327,191155.4569357382,16.9142,2.58099,1.78552,1.28283,8.70272e-05,1.210346457793906e-09,10670.610852605096,595.6509837226946,6979.718021710763,3.534378802798372,1539.2886913411062,206.03168655037464,0.7502909893796875,2726.562116674821,1539.2886913411062,206.03168655037464,39.434369657020085,True,0.98,39.26901353876295,37.109675741015565
