m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
323197.0,8038.62,-0.490806,-0.339217,126780.03421280767,11.7156,0.716203,2.36594,2.9542,1.41807e-05,1.7218757601915368e-10,9970.432713580773,784.1102829265448,3570.9639795361545,1.0720464409408812,1723.3995884410288,503.2769771015571,1.5616560302607456,4591.28531761058,1723.3995884410288,503.2769771015571,24.64266713915578,True,0.97,23.108792287597204,23.20589735798191
60909.9,1502.67,-0.522122,0.911493,61417.20477140945,6.21345,1.02699,1.95409,1.09059,2.00867e-05,1.778601951025777e-10,8514.262214531112,1180.3314938803364,5714.44308552228,2.295317995746808,1734.1097559681796,388.13870326807057,0.5575100583603049,2136.319034363841,1734.1097559681796,388.13870326807057,33.38146949675648,True,0.98,32.85126987120313,31.96051956697823
410694.0,6547.51,0.352724,-0.267042,118077.42926859536,11.0,2.25919,0.595849,1.69507,5.18578e-06,6.132838155877012e-11,9839.785772382946,819.9821476985788,4464.987251845169,1.4935173368545065,1790.6381395731469,447.8998772770349,1.1031928831419044,3644.516766964807,1790.6381395731469,447.8998772770349,50.75775400773879,True,0.99,36.74212227816383,35.73537711657373
39991.3,5511.26,-0.0311543,0.048103,198055.5196700325,17.4637,2.48527,2.51123,0.885625,6.8203e-06,9.585527946097615e-11,10726.751391651324,580.9643458056254,3782.837088168142,1.163321087770373,1748.6248849247593,376.08465819383537,2.881225833382983,6385.547551933158,1748.6248849247593,376.08465819383537,38.55101136160236,True,0.98,38.59289685988466,37.56212285202283
20604.8,4607.65,-0.894002,-0.447424,155377.45742400785,14.0431,2.23038,1.85805,2.13095,6.97899e-05,9.094316005603595e-10,10328.819021611758,686.6150608326581,5047.984365616951,1.829876428617201,1783.8179541434074,351.04696772853794,3.781664999220504,7172.992753207074,1783.8179541434074,351.04696772853794,32.07063678104632,True,0.98,31.44712140909124,30.138161694573437
213484.0,60732.2,0.834501,0.394691,198130.9457353092,17.4697,0.728708,1.20359,1.12675,9.23209e-06,1.2976605472557082e-10,10727.35051112412,580.8080537921093,1758.4307213755835,0.4449720417692555,1216.930615854427,485.6018123976787,8.444050793696388,9257.582865505996,1216.930615854427,485.6018123976787,303.1176237464374,True,1.0,284.25776819545683,281.2245485421813
497024.0,28610.3,0.343553,0.470116,172924.40904027835,15.4561,1.42503,1.23405,1.5669,6.79729e-06,9.167917420872343e-11,10508.225462915172,638.5611088237902,5304.639121337219,1.9975853729707933,1769.637384795255,316.21017876596653,1.7427583159860918,4906.285643450748,1769.637384795255,316.21017876596653,64.09082234843525,True,1.0,51.02344035823496,49.5435291421462
224199.0,67222.1,0.268781,-0.326485,156230.0810969838,14.112,1.08177,0.772024,1.71497,6.31763e-06,8.247375016655754e-11,10338.147240403903,684.1018555058168,4584.686219579096,1.5580352745926227,1792.2685698204627,380.7213484157948,1.346793148398591,4177.034491117055,1792.2685698204627,380.7213484157948,280.010482743842,True,1.0,221.54588730780125,214.55291573159116
69423.1,8557.03,0.367003,-0.710071,171482.95810710397,15.3404,1.75732,1.4539,2.61176,0.000124202,1.6707877571814267e-09,10494.416177517316,642.2374101929765,4379.600979224373,1.4487955446362424,1788.471474754469,374.2145356557709,3.470106856960869,6926.934550920696,1788.471474754469,374.2145356557709,66.99853547055548,True,1.0,62.29132808228852,59.29787770663411
450336.0,206824.0,-0.486266,0.81567,109947.09557580708,10.3278,2.14997,2.2171,0.780354,7.43606e-06,8.556484964797647e-11,9705.953104381,856.8259595315066,2417.649929063355,0.646581291639625,1468.2845825564227,643.3997051449267,0.6079174720712058,2297.40159963796,1468.2845825564227,643.3997051449267,200.83663076895635,True,1.0,213.01206358736783,211.43677950706933
