m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
420379.0,347372.0,0.827575,0.978858,44014.2759084429,4.67066,0.289903,0.140313,0.156365,3.42935e-06,2.523526362811896e-11,7761.755405621727,1368.7569710795087,3578.323776815731,1.0751378523108508,1724.3788304518323,737.7327547106707,0.1948326812170908,822.8752324956045,1724.3788304518323,737.7327547106707,1755.2930434445004,True,1.0,1683.853732286013,1623.193728393704
240562.0,106201.0,0.942957,0.937496,32505.29609136435,3.61457,0.0844783,0.15912,0.0826043,4.35929e-06,2.64202952318854e-11,7044.057429265207,1526.4818670569969,4277.894449888757,1.3968800869136062,1784.7761652589447,599.4411135074367,0.423168739815759,1682.212849121967,1784.7761652589447,599.4411135074367,969.4377968621318,True,1.0,931.9805148023546,903.0284936530852
1017340.0,493734.0,0.913674,0.975878,38301.75042201084,4.151,0.291539,0.132335,0.159485,6.47673e-06,4.374073394340303e-11,7435.789249079954,1443.5622692836257,1272.5060815287077,0.3105551201460425,970.9672317588056,1196.5216796747054,0.2987662249258603,1228.0387623351205,970.9672317588056,1196.5216796747054,2328.2770603721115,True,1.0,2014.381626867384,1971.9595937146933
460202.0,316165.0,0.25315,0.528131,11705.818258190666,1.55566,0.120779,0.136687,0.0431468,1.01048e-05,2.589412582182376e-11,4580.350382363329,1792.237771207175,2955.803547390751,0.8317044488413836,1613.6902211547026,635.6662565530725,0.2228324646202071,934.3544016297138,1613.6902211547026,635.6662565530725,2730.145539081652,True,1.0,2722.235550764948,2626.697881367976
119294.0,77664.7,0.808962,0.853938,72951.84971449693,7.21147,0.17155,0.13334,0.170454,2.3915e-06,2.3055646732381407e-11,8884.140076563262,1081.918350376152,1729.8730348130043,0.436769354726274,1204.001904433262,871.2528983533374,0.5880271750989584,2234.429223006596,1204.001904433262,871.2528983533374,437.9709101260423,True,1.0,429.7919089660237,413.0242040816154
347410.0,278615.0,0.998,0.931501,51416.74613894938,5.33338,0.175169,0.0915203,0.144161,6.68954e-07,5.385307045530808e-12,8118.373781290461,1281.839046652887,3354.744404555943,0.9836257380222544,1691.218428712492,752.1464648384919,0.3132434530462809,1282.6041346592576,1691.218428712492,752.1464648384919,1498.669300942463,True,1.0,1441.3095120335906,1391.8011317428318
319160.0,250435.0,0.972661,0.972862,17705.878449518623,2.18186,0.215819,0.131345,0.17208,7.46922e-06,2.8250374101199643e-11,5564.631520405871,1748.861207094552,3357.6204664648576,0.9847722981560342,1691.6905104335397,693.6229306895777,0.5964562719118361,2261.208720620017,1691.6905104335397,693.6229306895777,2170.005931205337,True,1.0,2121.547742784444,2035.944826181111
562555.0,207016.0,0.95343,0.990731,53281.94727748709,5.49874,0.19526,0.122679,0.109,2.66269e-06,2.186243789577789e-11,8198.8119662407,1261.600243468842,5906.564085902312,2.449367646153019,1712.3614225635663,352.7218932792167,1.975897426148624,5272.577036288868,1712.3614225635663,352.7218932792167,1611.299900459104,True,1.0,1426.9873652136378,1387.8078799874286
219259.0,109092.0,0.217116,0.296176,98274.4070152452,9.35574,0.114727,0.0505231,0.0802423,1.66579e-06,1.8323775712261395e-11,9489.848819615518,916.3853881630396,4541.915044733227,1.534731313801888,1791.8723848556965,477.7962536124778,3.318771621113345,6798.143616990065,1791.8723848556965,477.7962536124778,439.8672704100673,True,1.0,426.0712361374256,416.6285716769669
174907.0,171432.0,0.998,0.794909,112702.12852160748,10.556,0.2838,0.171168,0.122436,1.6357e-06,1.9003296868346472e-11,9752.69371076562,843.9506499451038,2535.370048924629,0.6853351553866552,1504.371417239205,624.5520659859419,1.0360128697164053,3484.195763577997,1504.371417239205,624.5520659859419,655.5583460273134,True,1.0,632.0142384101105,610.1567932691856
