m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
198398.0,106786.0,0.300559,-0.814261,106002.74374708706,10.0003,0.130562,0.0574046,0.145121,3.42935e-06,3.8896730232260085e-11,9636.350258364506,876.0079505435767,3396.807535220504,1.0004720786150345,1698.0029662463444,567.2156882069644,0.403275238842488,1611.8012465117329,1698.0029662463444,567.2156882069644,374.3538954475406,True,1.0,365.4999271886209,354.9054818530811
159742.0,72013.0,-0.471897,-0.703315,131158.1521762985,12.0742,0.146347,0.170464,0.0441149,1.80978e-06,2.224652817340764e-11,10031.830029852572,767.2997223426728,3242.5603086549704,0.9394980187226712,1671.8554329906558,519.2875839421503,1.3841415913998842,4252.502030902756,1671.8554329906558,519.2875839421503,249.50358249383785,True,1.0,221.84143662791,213.57789475529944
163834.0,63693.5,0.0348284,0.691398,85197.8193586387,8.25533,0.181874,0.0508938,0.139888,1.95255e-05,2.020930762352664e-10,9205.270839466417,994.59131543299,8139.041263971399,5.375263966804634,1276.6594931270586,115.20168109126293,3.638573396897232,7062.997830262257,1276.6594931270586,115.20168109126293,336.7451067906457,True,1.0,315.58502588764554,301.8869054708791
3775.81,2704.56,0.998,0.998,32864.06136870427,3.64808,0.126067,0.156578,0.16341,0.000153766,9.3892677357785e-10,7070.459494824588,1521.1570142563353,2299.4521729191106,0.6085692263734934,1429.5015303006371,1026.4469036955395,0.4202407324072658,1671.9016344909946,1429.5015303006371,1026.4469036955395,33.118612460359834,True,0.98,32.72051612494784,31.627053045017107
333240.0,116704.0,0.203574,0.557383,79098.68209097504,7.73723,0.214692,0.159091,0.0805053,7.46922e-06,7.477257531341413e-11,9053.061678698516,1036.1478041322612,2440.646904728919,0.6540804367261605,1475.530970010916,756.8090536039311,2.4832142635415173,5947.1474940744765,1475.530970010916,756.8090536039311,587.6844255762998,True,1.0,488.0851147650147,467.5172713073724
381528.0,160820.0,0.283351,0.431133,172960.5489676697,15.459,0.279638,0.130405,0.151399,3.62675e-05,4.891938271372523e-10,10508.569716730646,638.4695131375324,4982.9756621323895,1.789447581371418,1786.3664754752167,335.71869933005115,1.899156388972821,5156.482529718352,1786.3664754752167,335.71869933005115,269.51659208039126,True,1.0,173.67477266498778,165.21598956176985
195086.0,132019.0,0.882301,0.973939,88440.14426224813,8.52943,0.155762,0.0896543,0.0806957,4.94907e-06,5.2067264536301915e-11,9280.738119934576,973.9027538829264,6935.859578744035,3.4808803004128044,1547.8787883034324,246.0670312913639,1.3318514208020935,4146.4099951725975,1547.8787883034324,246.0670312913639,691.5971181007612,True,1.0,663.3789469167641,640.0913383851803
67802.6,21809.6,-0.267094,-0.455925,140653.85831433066,12.849,0.16285,0.0964061,0.151262,7.46922e-06,9.410611607191011e-11,10156.246538690928,733.35594907148,2382.450158737454,0.6351688425128084,1457.005594692185,561.3254665956697,0.2996736414043326,1231.4722334290996,1457.005594692185,561.3254665956697,102.28939655840414,True,1.0,98.175700122474,92.25075750908393
72163.9,21235.1,0.23106,-0.887826,145409.40936510288,13.2356,0.261823,0.144489,0.146584,5.47354e-05,6.975540957355651e-10,10214.49109030198,717.531476741548,2713.955314550022,0.7459280914871627,1554.448507249957,526.8858196861385,1.071135703360459,3568.7932516832434,1554.448507249957,526.8858196861385,106.70979325086242,True,1.0,107.23753561289732,104.22493906055772
283757.0,15912.2,0.0385244,-0.907781,161512.48135389294,14.5383,0.218199,0.143876,0.0743631,2.66269e-06,3.5140012411565214e-11,10394.475673264962,668.9583592326678,4957.387884288152,1.773750398046748,1787.250893815857,349.91522850851266,0.6206385535767285,2337.278392850187,1787.250893815857,349.91522850851266,84.87139637850758,True,1.0,49.684813441634006,45.64692503490754
190531.0,5011.68,-0.189052,0.297304,150764.83286231302,13.6699,0.10012,0.168895,0.129746,1.6357e-06,2.110209515160977e-11,10277.154776945516,700.5606566469788,7993.128116972406,5.088102582178995,1312.9095665781851,155.69476646012313,0.8237231196293616,2933.825082834914,1312.9095665781851,155.69476646012313,26.52664616707023,True,0.97,25.43464918612821,25.60406484288611
482508.0,63825.2,0.896922,0.953084,53894.0894996982,5.55288,0.108975,0.069194,0.0693248,2.46338e-06,2.035285734302564e-11,8224.489003262413,1255.0953173661678,4064.955777863857,1.2926960643424783,1773.0024619026583,634.7641398573852,0.9508375768568904,3271.668645659459,1773.0024619026583,634.7641398573852,752.394051476134,True,1.0,669.7466431102434,664.8105539468613
93836.7,20428.6,0.684222,0.420187,109693.83490175357,10.3068,0.184084,0.138007,0.0461353,0.000528733,6.0785160101478325e-09,9701.580898375629,858.0306451317462,7333.50699599091,4.002412447796574,1465.9940730960736,209.4380283301942,1.167524358710992,3792.3298485142777,1465.9940730960736,209.4380283301942,167.73563495487176,True,1.0,158.51634336560676,152.42130708761067
46259.3,42784.4,-0.310734,0.877636,61466.71728447783,6.21777,0.095437,0.171031,0.138566,3.62675e-05,3.2126817803710276e-10,8516.02604190461,1179.8694114532066,6096.000696732858,2.6115011386187974,1687.9409581621392,335.28712463555115,1.459926461942521,4401.042520304735,1687.9409581621392,335.28712463555115,199.5558330359193,True,1.0,201.2623049653052,191.94129072076385
136164.0,64700.2,-0.670453,-0.974227,221683.81818950785,19.3367,0.229081,0.0784758,0.174282,7.46922e-06,1.0840726856202424e-10,10900.677995422457,536.0101685830275,2191.2127719287705,0.5745149015057299,1391.6748387500645,428.2634460733499,2.9887047759196714,6492.9593543163965,1391.6748387500645,428.2634460733499,156.1541635979545,True,1.0,129.8879956106605,125.25372760102748
119906.0,8142.39,-0.290766,0.218368,19949.24600996044,2.40714,0.0934758,0.0714414,0.0244297,0.000430244,1.8016231975308702e-09,5855.129525044594,1718.4880941330837,2555.1709878044244,0.6919444920504159,1510.1978867250273,968.5420994423492,1.2958608576773538,4071.604913101968,1510.1978867250273,968.5420994423492,179.7205416161365,True,1.0,177.26973019386344,171.02083038952338
470716.0,23370.8,-0.537888,-0.103023,113883.2672867622,10.6537,0.227155,0.159552,0.0768101,3.85795e-06,4.5001282694400304e-11,9772.284106057492,838.5563474310727,3363.4432583025164,0.9870959733880036,1692.6425871765634,549.9404340847874,2.70765282222776,6202.689430376426,1692.6425871765634,549.9404340847874,35.91350837779608,True,0.98,37.97232989565856,37.16677199319013
101358.0,16767.0,0.884628,0.203234,58040.2532750181,5.91799,0.0651393,0.047349,0.0989483,0.000430244,3.699045637941238e-09,8389.756746543158,1212.7448502445304,4311.262561065008,1.41375384042968,1786.1235487032802,589.5490122678301,1.430229385723952,4343.552759104568,1786.1235487032802,589.5490122678301,202.2220075574444,True,1.0,197.9313585877284,191.0226498868991
441933.0,96457.6,0.998,0.953293,45524.62651846822,4.80678,0.229589,0.134203,0.105197,2.46338e-06,1.849394571312616e-11,7839.908954440882,1350.1301847910345,3147.4818579616103,0.9029824640482704,1653.9731243057995,808.0945210391668,0.6455145055616821,2414.3699602157712,1653.9731243057995,808.0945210391668,1137.5511881578254,True,1.0,1040.6296945557797,1007.9850633777849
75225.1,15241.9,-0.171843,0.936058,105997.09141698448,9.99983,0.122786,0.145314,0.0986449,2.40093e-05,2.723150080506413e-10,9636.248143560808,876.0360972452128,3277.4430346651816,0.9530961539283868,1678.0756131278868,578.0821265019097,2.922581583771863,6427.381511867378,1678.0756131278868,578.0821265019097,101.98854310663472,True,1.0,97.49044188441609,92.24383629146766
73266.8,7771.77,0.608243,0.662375,27010.857340894865,3.09536,0.679982,2.54817,1.90489,5.47354e-05,2.9082852132725347e-10,6595.478136450732,1610.4757912492998,4995.821822430135,1.797373870898763,1785.8970812434395,390.60212173434536,0.7156448751056681,2625.524009400449,1785.8970812434395,390.60212173434536,164.58104155478514,True,1.0,163.68669233140417,156.1694835528055
17849.9,8898.71,0.123582,0.954663,63919.24380262083,6.43134,0.102298,0.0543746,0.0756161,3.62675e-05,3.277349384231273e-10,8601.307947506215,1157.437009678768,4879.0108755850615,1.7264088882658553,1789.537475097817,500.891773154598,0.8977658296337135,3133.729231369441,1789.537475097817,500.891773154598,73.84062240502114,True,1.0,73.36477686086228,69.68126692723997
187038.0,124292.0,0.401602,0.368699,131175.26607645373,12.0756,0.140673,0.072831,0.101435,4.94907e-06,6.083876369318843e-11,10032.064767693546,767.2355201821366,4974.092715235074,1.7839845476182834,1786.681145748165,386.82523680823306,1.421920160251133,4327.303267433225,1786.681145748165,386.82523680823306,415.3907832845137,True,1.0,399.8038504039687,385.5065768048085
87961.4,20520.0,-0.197033,0.34513,29038.37132268436,3.28835,0.232803,0.116643,0.143938,6.72286e-05,3.76525381929683e-10,6771.4555301419805,1579.0351837284693,682.4265169580998,0.16015495693443,588.2201463891221,1419.9001974045832,1.0302318511134747,3470.104801727343,588.2201463891221,1419.9001974045832,229.3812775806229,True,1.0,227.9152057916837,216.64713118475808
125367.0,29252.7,0.024408,0.00794206,205085.24890680623,18.0223,0.173486,0.136206,0.127583,4.94907e-06,7.026556140543743e-11,10781.306619431203,566.7719791734545,7127.825035087537,3.722132221792921,1509.4505405766677,192.0630830431309,1.0445809434833395,3504.9927814172006,1509.4505405766677,192.0630830431309,143.46656920359533,True,1.0,117.33307074934746,113.25492303964546
124213.0,62278.7,0.294986,0.998,53895.22082089734,5.55298,0.110676,0.158642,0.107826,1.95255e-05,1.6132479400988892e-10,8224.536137894109,1255.0833571740047,6068.105615773287,2.586951356469064,1691.7167326285798,329.0763147500241,0.5223582957630717,2021.0323767243624,1691.7167326285798,329.0763147500241,400.6656687560831,True,1.0,386.7781356735605,366.52808245160486
56616.4,35878.6,0.344493,-0.54327,46958.95022183781,4.9356,0.148208,0.104549,0.055152,5.47354e-05,4.1845805491664407e-10,7911.407477228555,1332.8740948225209,4756.494932051123,1.6545690339352506,1791.8143650417264,531.5237801112667,1.887460636752592,5138.41705418233,1791.8143650417264,531.5237801112667,215.53026765511123,True,1.0,214.6305886391081,203.2653538592413
135495.0,3388.63,0.146085,-0.456435,46600.315521329336,4.90343,0.0758854,0.160262,0.0908327,1.01048e-05,7.690821462656168e-11,7893.769473226469,1337.1496694678294,4388.806996595984,1.4535665895586434,1788.745831251226,593.7162741755485,1.59133172784081,4644.9089789401705,1788.745831251226,593.7162741755485,73.30855667684179,True,1.0,71.25522004376644,68.71847712581015
