m1,m2,a1,a2,DL,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt
518.661,485.458,0.998,0.765416,160671.55561099196,14.4705,0.143048,0.157988,0.140389,1.2937e-06,1.704429349107603e-11
808.208,422.874,0.982554,0.376115,140173.52216120873,12.8099,0.0202428,0.0302796,0.011451,1.01415e-05,1.2762308205867037e-10
930.811,903.664,0.998,0.998,122211.29184042322,11.3404,0.0651582,0.0641182,0.0607433,4.75455e-06,5.6957345841719955e-11
762.293,704.776,0.998,0.998,82992.81634443096,8.06841,0.268251,0.165532,0.103678,2.43277e-06,2.4888337721060485e-11
1226.86,937.123,0.98133,0.998,33905.72028315333,3.74513,0.0843265,0.173086,0.137793,1.01415e-05,6.324526890679316e-11
910.208,382.148,0.998,0.998,117479.62911228345,10.9507,0.130437,0.121777,0.123166,1.13688e-06,1.3419279548865746e-11
1159.77,644.427,0.998,0.930838,102170.9092891567,9.68121,0.272567,0.1229,0.151934,4.13375e-06,4.619914587878807e-11
394.59,330.663,0.545426,0.88129,85189.19818905176,8.2546,0.17426,0.0884598,0.0860167,8.64289e-06,8.945175607008046e-11
1376.03,530.73,0.998,0.998,45517.06784823975,4.8061,0.315469,0.171252,0.169628,0.000101397,7.611684293134253e-10
6869.83,2143.38,0.998,0.998,38351.266701406,4.15554,0.232071,0.151451,0.158226,3.15477e-06,2.1323325446380092e-11
8512.62,455.071,0.998,0.88469,73214.32346726386,7.234,0.207101,0.149753,0.122217,1.01415e-05,9.793743057013702e-11
236.542,194.993,0.428705,0.176236,220919.38592458668,19.2763,0.102379,0.148084,0.047971,2.40093e-05,3.481335393438747e-10
527.551,256.22,0.714297,0.78592,113865.12589184757,10.6522,0.111791,0.0595874,0.159237,1.13688e-06,1.3260391795731027e-11
3219.15,245.653,0.998,0.998,46215.47528105801,4.86888,0.0845612,0.0746101,0.0480315,0.000350144,2.6520835745215667e-09
